t_archivo,c_zero_cr,c_spectral_centroid,c_spectral_bw,c_spectral_rf,c_croma,c_norm_main_signal,c_norm_amplitude_db,c_mfcc_1,c_mfcc_2,c_mfcc_3,c_mfcc_4,c_mfcc_5,c_mfcc_6,c_mfcc_7,c_mfcc_8,c_mfcc_9,c_mfcc_10,c_mfcc_11,c_mfcc_12,c_mfcc_13,c_mfcc_14,c_mfcc_15,c_mfcc_16,c_mfcc_17,c_mfcc_18,c_mfcc_19,c_mfcc_20,c_bpm,c_auto_c,tgt
crop_139ORACION.mp3,18,3718.61146,4018.727749,8496.157681,0.445983708,27198.66602,67515.32813,-63.77665329,120.5699387,-27.78107452,55.22799683,-13.12026691,44.32489014,-19.25358391,20.55570984,-12.72041225,10.78619766,-8.986979485,6.8047328,-2.328666687,2.900475979,1.404809356,-5.159078598,1.606270313,-5.578994274,5.258808136,-5.577647209,107.6660156,0.669198642,mg
crop_08Seek&Destroy.mp3,7,3939.607756,3609.94044,7792.548149,0.521793306,12548.87109,80284.07813,-120.3060989,110.5071793,-55.00826645,60.53390884,-4.303230286,28.53730774,-19.06510735,20.665205,-7.360393524,13.71319103,-3.508203745,11.44739151,-3.35458684,3.111071825,-2.796549082,-10.31034851,-2.340405703,-7.850483894,2.950904369,-8.729318619,139.6748311,0.734162692,mg
crop_02Rollercoaster.mp3,14,3520.858827,3781.587057,7853.945273,0.589852214,25798.61133,78596.86719,-91.05677032,136.933136,-25.53961945,34.5528183,-17.25277328,31.74967194,-15.51670456,22.5771656,-11.77246284,20.27753639,-5.628072739,13.31059361,-3.628813982,5.675441265,1.15686202,0.878585041,3.19018364,-2.802730799,6.372932434,-4.54397583,97.50884434,0.328608245,mg
crop_11BringEmBackAlive.mp3,4,3170.852573,3558.395446,7077.203394,0.478350878,30418.2832,71925.75781,-55.0356636,134.7485352,-36.23517609,54.62288666,-11.03149128,41.57562256,-11.96716499,21.46940231,-7.646917343,10.5540905,-3.116513968,4.732284546,-1.134985566,2.137827873,-3.307989359,-4.235019207,0.886601806,-5.472084999,3.519586802,-4.259108067,129.1992188,0.621544274,mg
crop_4-04BodomBeachTerror.mp3,0,3031.185078,3008.042682,6038.769985,0.609178722,33014.41406,75295.16406,-32.87836075,140.1061859,-68.55197906,58.52260208,-11.41127396,31.30311584,-2.930590391,23.46688652,2.560016155,17.45150948,-1.017286897,5.120934486,6.781217098,-0.232262447,2.24588275,-1.2995013,2.268726349,-1.357314944,2.677248001,-4.299150467,143.5546875,0.64206242,mg
crop_05MolinosdeViento.mp3,8,3617.964275,3560.798497,7579.380613,0.517802,25175.83594,73392.40625,-83.59027863,109.1314468,-41.15593338,73.02960205,-8.240224838,38.39822006,-11.1958313,20.8190136,-2.797042608,12.2718935,-2.841860294,9.682276726,2.526611567,2.880962133,1.688611507,-3.694211721,2.7717309,-6.299512863,7.250110626,-6.909248352,135.9991776,0.698355273,mg
crop_07GrampaBill.mp3,4,2627.591011,3163.725693,5703.654166,0.594061136,17494.70508,64556.38281,-149.8750458,125.2808609,-24.26463699,57.22319031,7.150240898,28.82535362,0.348850399,18.24617577,1.533502698,9.453938484,0.999851227,6.207008839,4.709582329,3.411365032,3.467101812,0.782044411,4.818325043,-2.994832754,3.727421045,-2.653104782,139.6748311,0.501400774,mg
crop_056lospajaritosweperos-produccionesemoji.mp3,2,3275.711032,3277.758887,6792.592928,0.496305406,12385.24707,85636.6875,-186.7200012,128.6277161,-38.53073502,57.51063919,-22.34023857,24.02445602,-7.084935665,7.489226341,2.463044643,-1.257210255,9.783641815,1.677179217,13.70981693,-1.691343188,8.092417717,-1.246611238,6.007844448,2.749205828,3.441888571,6.003625393,86.53846154,0.40007284,mg
crop_052TELOPIDOPORFAVOR.mp3,1,2875.925079,3529.232417,6538.184772,0.343407035,22873.39063,61834.18359,-114.8206558,129.5964203,-15.90603256,40.96773911,-21.34724617,29.95548248,-10.13391876,22.43576431,-7.677251339,10.59002972,0.961703897,5.620323181,1.557605743,0.842639983,4.311823368,0.55643934,4.112848759,-5.255845547,2.713391542,-6.712268353,107.6660156,0.621794758,mg
crop_01BlackLabel.mp3,14,2676.717082,2697.360794,5579.511628,0.621649146,28837.43164,78000.80469,-68.91842651,157.5527039,-60.77418137,61.49129486,-3.591314554,19.46473312,-3.693326473,13.94655037,8.444470406,4.135473728,12.79010963,-0.301546037,5.535069942,-4.506474495,3.708846569,-8.07781601,-1.059595585,-0.994868398,-3.91394186,-4.468315125,123.046875,0.623428603,mg
