iter	Logloss	Accuracy
0	0.6842578048	0.7198538368
1	0.6761402256	0.71863581
2	0.6684468328	0.724725944
3	0.6618430188	0.724725944
4	0.655745539	0.7235079172
5	0.6482869949	0.7344701583
6	0.640960405	0.7758830694
7	0.6339802087	0.7819732034
8	0.6276364317	0.778319123
9	0.6214116988	0.7819732034
10	0.6157549017	0.7880633374
11	0.6112324905	0.7917174178
12	0.6051375597	0.7880633374
13	0.599773022	0.7880633374
14	0.5955713015	0.7917174178
15	0.5906415586	0.7917174178
16	0.5857158386	0.7917174178
17	0.5817733187	0.7929354446
18	0.5779714755	0.8002436054
19	0.5745894984	0.802679659
20	0.5698707667	0.8014616322
21	0.5666361414	0.802679659
22	0.5630109413	0.8038976857
23	0.5597047285	0.8063337393
24	0.5568529676	0.8099878197
25	0.5535877946	0.8124238733
26	0.550614482	0.8099878197
27	0.5468362237	0.8099878197
28	0.5432129393	0.8124238733
29	0.5400601002	0.8087697929
30	0.5372113502	0.8112058465
31	0.5339790521	0.8075517661
32	0.53129718	0.8038976857
33	0.528687087	0.8051157125
34	0.5257564369	0.7990255786
35	0.5219785674	0.8014616322
36	0.518479189	0.8038976857
37	0.5158904806	0.8099878197
38	0.5134713467	0.8099878197
39	0.511543502	0.8136419001
40	0.5091905873	0.8136419001
41	0.5067659122	0.8172959805
42	0.5039252408	0.8209500609
43	0.5008882839	0.8221680877
44	0.4989712402	0.8209500609
45	0.4970193699	0.8148599269
46	0.4952212056	0.8160779537
47	0.493284536	0.8185140073
48	0.4913534911	0.8160779537
49	0.4886094781	0.8185140073
50	0.4867315475	0.8148599269
51	0.485324558	0.8185140073
52	0.4841326811	0.8185140073
53	0.4824156467	0.8209500609
54	0.4806294351	0.8209500609
55	0.4788136853	0.8197320341
56	0.4769039076	0.8233861145
57	0.4757881897	0.8258221681
58	0.4735000997	0.8233861145
59	0.4724612278	0.8233861145
60	0.4704836195	0.8221680877
61	0.4690455608	0.8209500609
62	0.4669767254	0.8246041413
63	0.4654650329	0.8282582217
64	0.4634137069	0.8282582217
65	0.4622230712	0.8233861145
66	0.4605157961	0.8246041413
67	0.4589109493	0.8282582217
68	0.4579475277	0.8343483557
69	0.4561048258	0.8355663825
70	0.4551672039	0.8355663825
71	0.4537057186	0.8319123021
72	0.4520150057	0.8343483557
73	0.450724875	0.8282582217
74	0.4493864416	0.8282582217
75	0.4476687383	0.8294762485
76	0.4458252513	0.8319123021
77	0.4445491499	0.8270401949
78	0.4434235966	0.8282582217
79	0.4417755326	0.8331303289
80	0.4407752582	0.8367844093
81	0.4391641467	0.8331303289
82	0.4378239782	0.8319123021
83	0.436709869	0.8319123021
84	0.4356435356	0.8319123021
85	0.4345590298	0.8343483557
86	0.4331328816	0.8367844093
87	0.4322355644	0.8367844093
88	0.430552689	0.8367844093
89	0.4296675993	0.8416565164
90	0.4283548424	0.8416565164
91	0.4272806086	0.8392204629
92	0.4257282567	0.8416565164
93	0.4247939617	0.8392204629
94	0.4240364599	0.8392204629
95	0.4234310432	0.8392204629
96	0.4226597155	0.8453105968
97	0.421886426	0.84409257
98	0.4207825513	0.84409257
99	0.4197555444	0.8465286236
