iter	Passed	Remaining
0	0	332
1	0	345
2	1	336
3	1	358
4	1	348
5	2	352
6	2	388
7	3	387
8	3	380
9	3	377
10	4	375
11	4	371
12	4	364
13	5	362
14	5	361
15	5	360
16	6	359
17	6	358
18	6	361
19	7	358
20	7	354
21	7	351
22	8	353
23	8	350
24	8	347
25	9	346
26	9	345
27	9	343
28	10	350
29	10	350
30	11	347
31	11	348
32	11	348
33	12	347
34	12	346
35	12	346
36	13	345
37	13	345
38	13	344
39	14	342
40	14	342
41	14	341
42	15	342
43	15	341
44	16	340
45	16	339
46	16	338
47	16	337
48	17	336
49	17	335
50	17	334
51	18	335
52	18	334
53	19	335
54	19	334
55	19	333
56	20	332
57	20	332
58	20	332
59	21	331
60	21	331
61	21	330
62	22	331
63	22	330
64	22	329
65	23	328
66	23	327
67	24	330
68	24	330
69	24	329
70	25	328
71	25	327
72	25	326
73	26	325
74	26	324
75	26	324
76	27	324
77	27	324
78	27	324
79	28	324
80	28	323
81	28	323
82	29	324
83	29	324
84	30	324
85	30	324
86	30	324
87	31	324
88	31	325
89	32	324
90	32	325
91	32	324
92	33	324
93	33	323
94	33	323
95	34	324
96	34	323
97	35	323
98	35	323
99	35	323
100	36	323
101	36	324
102	37	324
103	37	323
104	38	323
105	38	324
106	38	324
107	39	325
108	39	325
109	40	326
110	40	326
111	41	326
112	41	326
113	41	325
114	42	325
115	42	325
116	43	324
117	43	324
118	43	324
119	44	324
120	44	324
121	45	324
122	45	323
123	45	322
124	46	322
125	46	321
126	46	322
127	47	321
128	47	321
129	47	320
130	48	320
131	48	319
132	49	320
133	49	321
134	50	320
135	50	320
136	50	319
137	51	318
138	51	318
139	51	318
140	52	317
141	52	317
142	52	316
143	53	316
144	53	316
145	53	315
146	54	316
147	55	317
148	55	317
149	56	317
150	56	318
151	57	318
152	57	318
153	57	317
154	58	318
155	58	318
156	59	318
157	59	318
158	60	317
159	60	317
160	60	317
161	61	317
162	61	316
163	62	317
164	62	316
165	63	316
166	63	317
167	63	316
168	64	316
169	64	316
170	65	315
171	65	315
172	65	315
173	66	314
174	66	314
175	67	314
176	67	314
177	67	313
178	68	313
179	68	312
180	69	312
181	69	313
182	70	312
183	70	312
184	70	311
185	71	311
186	71	311
187	72	311
188	72	311
189	73	311
190	73	311
191	73	310
192	74	310
193	74	311
194	75	311
195	75	310
196	76	310
197	76	309
198	76	309
199	77	309
200	77	308
201	77	308
202	78	307
203	78	307
204	79	306
205	79	306
206	79	305
207	80	305
208	80	305
209	81	305
210	81	304
211	81	304
212	82	304
213	82	304
214	83	303
215	83	303
216	84	303
217	84	303
218	84	302
219	85	302
220	85	301
221	85	301
222	86	301
223	86	300
224	87	300
225	87	300
226	88	300
227	88	300
228	89	299
229	89	299
230	89	298
231	90	298
232	90	298
233	90	297
234	91	297
235	91	296
236	92	296
237	92	296
238	92	295
239	93	295
240	93	294
241	93	294
242	94	294
243	94	293
244	95	293
245	95	292
246	96	292
247	96	292
248	96	292
249	97	292
250	97	292
251	98	291
252	98	291
253	98	290
254	99	290
255	99	290
256	100	289
257	100	289
258	101	289
259	101	288
260	101	288
261	102	287
262	102	287
263	103	287
264	103	286
265	103	286
266	104	286
267	104	286
268	105	285
269	105	285
270	106	285
271	106	285
272	106	284
273	107	284
274	107	284
275	108	284
276	108	283
277	109	283
278	109	282
279	109	282
280	110	282
281	110	282
282	111	281
283	111	281
284	112	281
285	112	281
286	112	280
287	113	280
288	113	279
289	114	279
290	114	279
291	115	278
292	115	278
293	116	278
294	116	278
295	116	278
296	117	277
297	117	277
298	118	277
299	118	276
300	118	276
301	119	275
302	119	275
303	120	275
304	120	274
305	121	274
306	121	274
307	121	273
308	122	273
309	122	273
310	123	272
311	123	272
312	124	272
313	124	272
314	125	271
315	125	271
316	125	271
317	126	271
318	126	270
319	127	270
320	127	269
321	127	269
322	128	269
323	128	268
324	129	268
325	129	268
326	129	267
327	130	267
328	130	266
329	131	266
330	131	265
331	131	265
332	132	264
333	132	264
334	133	264
335	133	263
336	133	263
337	134	263
338	134	262
339	135	262
340	135	262
341	136	261
342	136	261
343	136	260
344	137	260
345	137	259
346	137	259
347	138	258
348	138	258
349	139	258
350	139	257
351	139	257
352	140	257
353	140	256
354	141	256
355	141	255
356	141	255
357	142	254
358	142	254
359	142	253
360	143	253
361	143	253
362	144	252
363	144	252
364	144	251
365	145	251
366	145	251
367	145	250
368	146	250
369	146	249
370	147	249
371	147	248
372	147	248
373	148	247
374	148	247
375	149	247
376	149	246
377	149	246
378	150	246
379	150	245
380	150	245
381	151	244
382	151	244
383	152	243
384	152	243
385	152	243
386	153	242
387	153	242
388	154	242
389	154	241
